Planta,Certify Index,ID Producto Técnico,ID Comercial,Código largo,Descripción comercial,Grupo de aplicación,Estándar,Exposición,Resistencia,Edad,Edad técnica,Tamaño Máx. Agregado,Origen,Consistencia,Cons. Técnica,Bomba,Tipo Binder,Variante,Id Receta,Comentario1,Fecha de validez,Estatus,Consistencia2,Exposure class,Volumen de concreto,% contenido de aire,Factor G,Metodo,10001 / C1 / CEMEX,30000 / A1 / GENERICO,40000 / G10 / CEMEX,40001 / G20 / CEMEX,40002 / G40 / CEMEX,40004 / G202 / GRAVA 20 MM,50001 / ARL / CEMEX,50002 / AR1 / CEMEX,50003 / AR2 / ARENA SECA,60000 / A92 / CEMEX,60001 / M12 / CEMEX,60002 / A55 / CEMEX,60003 / R22 / CEMEX,60004 / A52 / CEMEX,70001 / KRYTON / AUTOSELLANTE,70003 / SKLITE / IMPERMEABILIZANTE
P002,10000135,10000135,20000123,U-550-1-1-814-E70-D-2-DIA,U-550-1-1-814-E70,CRR,U,      ,550,14H,1,1,1,E70,70,D,2,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,1020.00,0.00,0,,650.00,185.00,700.00,,,,842.00,,,4.55,,7.80,,,,
P002,10000014,10000014,20000014,A-550-2-B-28-18-B-2-000,A-550-2-B-28-18,ALR,A,      ,550,28,28,2,B,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,1038.81,0.00,0,,605.00,210.00,,980.00,,,,,670.00,1.81,2.11,,4.10,,,
P002,10000055,10000055,20000014,A-550-2-B-28-18-D-2-000,A-550-2-B-28-18,ALR,A,      ,550,28,28,2,B,18,18,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,1002.04,0.00,0,,605.00,200.00,,1010.00,,,,,573.00,2.12,1.21,,3.90,,,
P002,10000099,10000099,20000091,A-450-2-1-28-22-D-2-E20,A-450-2-1-28-22,ALR,A,      ,450,28,28,2,1,22,22,D,2,E20,1,,01/01/2050,Active,REVENIMIENTO 22 cm +/-3.5 cm,,991.27,0.00,0,,550.00,200.00,,902.00,,,,,694.00,1.65,2.75,,3.85,,,
P002,10000100,10000100,20000091,A-450-2-1-28-22-B-2-E20,A-450-2-1-28-22,ALR,A,      ,450,28,28,2,1,22,22,B,2,E20,1,,01/01/2050,Active,REVENIMIENTO 22 cm +/-3.5 cm,,991.27,0.00,0,,550.00,200.00,,902.00,,,,,694.00,1.65,2.75,,3.85,,,
P002,10000041,10000041,20000040,C-350-2-1-28-55-B-2-000,C-350-2-1-28-55,AUT,C,      ,350,28,28,2,1,55,55,B,2,0,1,,01/01/2050,Active,EXTENSIBILIDAD 55 cm +/-5,,972.16,0.00,0,,440.00,180.00,,800.00,,,,,887.00,3.08,1.96,,3.50,,,
P002,10000042,10000042,20000040,C-350-2-1-28-55-D-2-000,C-350-2-1-28-55,AUT,C,      ,350,28,28,2,1,55,55,D,2,0,1,,01/01/2050,Active,EXTENSIBILIDAD 55 cm +/-5,,972.12,0.00,0,,440.00,180.00,,800.00,,,,,887.00,3.00,2.00,,3.50,,,
P002,10000035,10000035,20000035,6-350-2-B-28-18-B-2-000,6-350-2-B-28-18,CON,6,      ,350,28,28,2,B,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,1011.78,0.00,0,,400.00,225.00,,971.00,,,,,750.00,,1.21,,2.90,,,
P002,10000038,10000038,20000035,6-350-2-B-28-18-D-2-000,6-350-2-B-28-18,CON,6,      ,350,28,28,2,B,18,18,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,1011.78,0.00,0,,400.00,225.00,,971.00,,,,,750.00,,1.21,,2.90,,,
P002,10000024,10000024,20000024,6-300-2-B-28-18-B-2-000,6-300-2-B-28-18,CON,6,      ,300,28,28,2,B,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,995.13,0.00,0,,377.00,217.00,,1000.00,,,,,719.00,,1.15,,2.64,,,
