Planta,Certify Index,ID Producto Técnico,ID Comercial,Código largo,Descripción comercial,Grupo de aplicación,Estándar,Exposición,Resistencia,Edad,Edad técnica,Tamaño Máx. Agregado,Origen,Consistencia,Cons. Técnica,Bomba,Tipo Binder,Variante,Id Receta,Comentario interno,Fecha de validez,Estatus,Consistencia2,Metodo,10001 / C1 / CEMEX,30000 / A1 / GENERICO,40000 / G10 / CEMEX,40001 / G20 / CEMEX,50001 / ARL / CEMEX,50003 / AR2 / ARENA SECA,60000 / A92 / CEMEX,60001 / M12 / CEMEX,60002 / A55 / CEMEX,60003 / R22 / CEMEX
P003,10000052,10000052,20000050,6-250-2-B-031-18-D-2-000,6-250-2-B-031-18,CON,6,      ,250 ,3,03 ,2 ,B,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,380.00,240.00,,942.00,,725.00,,1.50,,2.50
P003,10000120,10000120,20000110,B-350-2-1-814-E70-D-2-DIA,B-350-2-1-814-E70,CRR,B,      ,350 ,14h,01 ,2 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,550.00,185.00,458.00,305.00,889.00,,3.92,,8.40,
P003,10000135,10000135,20000123,U-550-1-1-814-E70-D-2-DIA,U-550-1-1-814-E70-d,CRR,U,      ,550 ,14h,01 ,1 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,650.00,185.00,700.00,,842.00,,4.22,,7.80,
P003,10000135,10000135,20000123,U-550-1-1-814-E70-D-2-DIA,U-550-1-1-814-E70-n,CRR,U,      ,550 ,14h,01 ,1 ,1,E70,70 ,D,2   ,DIA,2,DISEÑO DE NOCHE,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,650.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000422,10000422,20000370,F-350-2-1-801-18-D-2-100,F-350-2-1-801-18,CRR,F,      ,350 ,1,01 ,2 ,1,18 ,18 ,D,2   ,100,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,550.00,198.00,,1012.00,633.00,,1.38,,,3.30
P003,10000071,10000071,20000064,U-550-1-1-148-70-D-2-DIA,U-550-1-1-148-70,ESP,U,      ,550 ,14h,01 ,1 ,1,70 ,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 +/- 5 cm,,650.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000072,10000072,20000065,U-550-1-1-148-70-D-2-NOC,U-550-1-1-148-70,ESP,U,      ,550 ,14h,01 ,1 ,1,70 ,70 ,D,2   ,NOC,1,,01/01/2050,Active,EXTENSIBILIDAD 70 +/- 5 cm,,690.00,185.00,727.00,,795.00,,4.83,,10.35,
P003,10000078,10000078,20000071,C-250-1-1-01-75-D-2-DIA,C-250-1-1-01-75,ESP,C,      ,250 ,1,01 ,1 ,1,75 ,75 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 75 cm +/-5,,650.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000104,10000104,20000094,3-550-2-1-514-E70-D-2-DIA,3-550-2-1-514-E70,ESP,3,      ,550 ,14h,01 ,2 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,600.00,190.00,472.00,254.00,854.00,,3.60,,7.20,
P003,10000105,10000105,20000095,L-350-2-1-714-E70-D-2-DIA,L-350-2-1-714-E70,ESP,L,      ,350 ,14h,01 ,2 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,550.00,185.00,458.00,305.00,889.00,,3.92,,8.40,
