nombre,codigo,cantidad,unidad,planta
CEMENTO CPC40,C1, -   ,TN,planta 1
CEMENTO CPC40,C3, 34.40 ,TN,planta 1
ARENA TRITURADA ,ART1, 130.95 ,TN,planta 1
ARENA VOLCANICA,ARY, 137.62 ,TN,planta 1
GRAVA 20 MM ,GB2, 122.80 ,TN,planta 1
GRAVA 10 MM ,GB1, 68.94 ,TN,planta 1
GRAVA 40 MM ,GB4, 129.15 ,TN,planta 1
800 MX,800 MX," 3,600.00 ",L,planta 1
DYNAMON SR353,SR353, 250.00 ,L,planta 1
280,N280, 680.00 ,L,planta 1
INCLUSOR DE AIRE ,AE2, 200.00 ,L,planta 1
MAPETARD,ME, 20.00 ,L,planta 1
IMPERMEABLIZANTE,IMP01, 180.00 ,KG,planta 1
FIBRA,00R, 58.00 ,KG,planta 1
 MACRO FIBRA,01R, 68.00 ,,planta 1
ADITIVO A52,A52, 106.80 ,L,planta 1
AGUA ,A1," 40,000.00 ",L,planta 1
CEMENTO CPC40,C2, 21.38 ,TN,PLANTA 4P
ARENA TRITURADA ,AC4, 494.95 ,TN,PLANTA 4P
GRAVA 20 MM ,GC2, 461.59 ,TN,PLANTA 4P
GRAVA 10 MM ,GC1, 178.20 ,TN,PLANTA 4P
FLUIX D18 ,D18," 1,758.00 ",L,PLANTA 4P
FLOW A 92,A92, 928.70 ,L,PLANTA 4P
00R,00R, 5.70 ,KG,PLANTA 4P
INCLUSOR DE AIRE ,A52, 43.00 ,L,PLANTA 4P
A28,A28, 25.50 ,L,PLANTA 4P
AGUA ,A1, -   ,L,PLANTA 4P
CEMENTO ,C1, 25.00 ,TN,PLANTA 02
ARENA SECA,AR2, 68.03 ,TN,PLANTA 02
ARENA LAVADA,ARL, -   ,TN,PLANTA 02
GRAVA 3/4,G20, 97.58 ,TN,PLANTA 02
GRAVA 3/8,G10, 22.14 ,TN,PLANTA 02
GRAVA 1 1/2,G40, 49.84 ,TN,PLANTA 02
R 22,R22, 250.00 ,L,PLANTA 02
M 12,M12," 1,284.00 ",L,PLANTA 02
A 92,A92, 50.00 ,L,PLANTA 02
A 52,A52," 1,734.10 ",L,PLANTA 02
A55,A55, 13.98 ,L,PLANTA 02
IMPERMEABILIZANTE,SKLITE, 48.00 ,KG,PLANTA 02
