Remisión,Estatus,Volumen,#Cliente,Cliente,Obra,Punto de entrega,Prod Comercial,Prod Tecnico,Product Description,Resistencia Diseño,Comentarios Externos,Camion,Placas,Chofer,B/NB,Fecha,Hora Carga,A1-Teórica,A1-Real,A1-$,A55-Teórica,A55-Real,A55-$,A92-Teórica,A92-Real,A92-$,ARL-Teórica,ARL-Real,ARL-$,C1-Teórica,C1-Real,C1-$,G10-Teórica,G10-Real,G10-$,G20-Teórica,G20-Real,G20-$,M12-Teórica,M12-Real,M12-$,R22-Teórica,R22-Real,R22-$,Costo Total ,Costo / m3,Costo / F'c,Cemento / m3,Ponderado F'c - M3,Ponderado F'c - Cemento,% del Volumen,Cemento / F'c
P003-002859,Terminado,5.70,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"NAVE ALAMAR
686MTTO11_0015
686MTTO11_0016
686MTTO12_0022
686MTTO12_0023
686MTTO12_0024
686MTTO17_0011
686MTTO17_0012
686MTTO18_0003",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,5:51:21 AM,974.1,975.0,45.7,0.0,0.0,0.0,7.8,7.9,733.8,"3,802.9","3,781.0","2,711.1","3,135.0","3,133.0","11,968.1",0.0,0.0,0.0,"5,728.0","5,768.0","1,362.7",0.0,0.0,0.0,18.8,0.0,0.0,"$16,821.32","$2,951.11",$48.06,549.6,503.8,510.3242355,0.002518669,1.6
P003-002860,Terminado,4.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"NAVE ALAMAR
686MTTO11_0015
686MTTO11_0016
686MTTO12_0022
686MTTO12_0023
686MTTO12_0024
686MTTO17_0011
686MTTO17_0012
686MTTO18_0003",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,7:20:39 AM,759.6,760.0,35.6,0.0,0.0,0.0,5.4,5.6,516.4,"2,592.8","2,559.0","1,834.9","2,200.0","2,208.0","8,434.6",0.0,0.0,0.0,"4,019.7","4,029.0",951.9,0.0,0.0,0.0,13.2,0.0,0.0,"$11,773.28","$2,943.32",$33.64,552.0,503.8,510.3242355,0.001767487,1.6
P003-002861,Terminado,5.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,PISTA TECNOSPAN,PISTA TECNOSPAN,20000008,10000008,5-250-2-R-28-18-D-2-000-C,250.00,"LRP-08
PISTA TECNOSPAN
IMPLEMENTACIONES
ADECUACION DE BASE",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,10:35:57 AM,923.1,51.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,"4,311.0","4,265.0","3,058.2","1,675.0","1,667.0","6,367.9","1,687.5","1,761.0",573.2,"3,068.4","3,074.0",726.2,4.7,0.0,0.0,11.0,0.0,0.0,"$10,727.93","$2,145.59",$42.91,333.4,503.8,510.3242355,0.002209359,1.3
P003-002862,Terminado,6.60,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"LRP-03
NAVE ALAMAR
686MTT011_0015
686MTT011_0016
686MTT012_0022
686MTT012_0023
686MTT012_0024
686MTT017_0011
686MTT017_0012
686MTT018_0003
",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/1/25,11:09:03 AM,"1,253.3","1,254.0",58.7,0.0,0.0,0.0,9.1,9.1,842.5,"4,278.1","4,247.0","3,045.3","3,630.0","3,597.0","13,740.5",0.0,0.0,0.0,"6,632.4","6,570.0","1,552.2",0.0,0.0,0.0,21.8,0.0,0.0,"$19,239.19","$2,915.03",$54.97,545.0,503.8,510.3242355,0.002916354,1.6
P003-002867,Terminado,7.40,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"LRP-03
NAVE ALAMAR
686MTT011_0015
686MTT011_0016
686MTT012_0022
686MTT012_0023
686MTT012_0024
686MTT017_0011
686MTT017_0012
686MTT018_0003
",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,3:15:07 PM,"1,428.6","1,429.0",66.9,0.0,0.0,0.0,10.1,10.3,951.2,"4,773.2","4,727.0","3,389.4","4,070.0","4,076.0","15,570.3",0.0,0.0,0.0,"7,436.4","7,495.0","1,770.7",0.0,0.0,0.0,24.4,0.0,0.0,"$21,748.59","$2,939.00",$62.14,550.8,503.8,510.3242355,0.003269851,1.6
P003-002863,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0036,CR-14,VICENTE HERNANDEZ,No Bombeable,7/1/25,2:23:24 PM,689.6,690.0,32.3,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,415.7","5,434.0","3,896.4","3,900.0","3,921.0","14,978.2","4,256.7","4,296.0","1,398.3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$26,065.57","$4,344.26",$47.39,653.5,503.8,510.3242355,0.002651231,1.2
P003-002864,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/1/25,2:38:35 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,437.0","3,898.5","3,900.0","3,859.0","14,741.4","4,256.7","4,323.0","1,407.1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,840.84","$4,306.81",$46.98,643.2,503.8,510.3242355,0.002651231,1.2
P003-002865,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0034,CR-12,PEDRO SALAZAR,No Bombeable,7/1/25,2:48:33 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,458.0","3,913.6","3,900.0","3,906.0","14,920.9","4,256.7","4,315.0","1,404.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$26,032.83","$4,338.81",$47.33,651.0,503.8,510.3242355,0.002651231,1.2
P003-002866,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/1/25,3:03:53 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,338.0","3,827.5","3,900.0","3,908.0","14,928.6","4,256.7","4,281.0","1,393.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,943.36","$4,323.89",$47.17,651.3,503.8,510.3242355,0.002651231,1.2
P003-002868,Terminado,5.75,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/1/25,3:27:57 PM,685.0,686.0,32.1,44.7,44.9,"3,271.1",24.1,24.3,"2,246.7","5,165.9","5,141.0","3,686.3","3,737.5","3,745.0","14,305.9","4,079.3","4,138.0","1,346.9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$24,889.05","$4,328.53",$45.25,651.3,503.8,510.3242355,0.002540763,1.2
