PARTIDA,CLAVE DEL PRODUCTO,PRECIO UNITARIO,CLIENTE ,OBRA
1,U-550-1-1-814-E70-D-2-DIA," $5,990.00 ",IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2
2,C-250-1-1-01-75-D-2-DIA," $6,046.23 ",IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2
3,5-350-2-1-28-18-D-2-000," $3,633.00 ",IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2
4,L-350-2-1-714-E70-D-2-DIA," $4,963.00 ",VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO
4,L-350-2-1-714-E70-D-2-DIA," $4,963.00 ",VIADUCTO ELEVADO MATADERO,VIADUCTO ELEVADO MATADERO
4,L-350-2-1-714-E70-D-2-DIA," $4,963.00 ",NAVE ALAMAR,NAVE ALAMAR
5,1-550-1-1-814-E70-B-2-DIA," $6,127.98 ",VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO
5,1-550-1-1-814-E70-B-2-DIA," $6,127.98 ",NAVE ALAMAR,NAVE ALAMAR
6,8-550-2-1-814-E70-D-2-DIA," $6,046.23 ",VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO
7,F-350-2-1-801-18-D-2-100," $4,119.00 ",NAVE ALAMAR,NAVE ALAMAR
8,5-250-2-R-28-18-D-2-000-C," $2,616.00 ",VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO
8,5-250-2-R-28-18-D-2-000-C," $2,616.00 ",PISTA TECNOSPAN,PISTA TECNOSPAN
9,Z-350-2-1-146-E70-D-2-DIA," $4,849.00 ",VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO
10,D-350-1-1-814-E70-D-2-DIA," $4,923.00 ",VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO
11,4-550-2-1-614-E70-D-2-DIA," $5,649.00 ",VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO
12,L-350-2-1-714-E70-D-2-DIA," $5,107.00 ",VIADUCTO ELEVADO MATADERO,VIADUCTO ELEVADO MATADERO
12,L-350-2-1-714-E70-D-2-DIA," $5,107.00 ",VIADUCTO ELEVADO MATADERO,VIADUCTO ELEVADO MATADERO
