Planta,Certify Index,ID Producto Técnico,ID Comercial,Código largo,Descripción comercial,Grupo de aplicación,Estándar,Exposición,Resistencia,Edad,Edad técnica,Tamaño Máx. Agregado,Origen,Consistencia,Cons. Técnica,Bomba,Tipo Binder,Variante,Id Receta,Comentario1,Fecha de validez,Estatus,Consistencia2,Volumen de concreto,Factor G,10001 / C1 / CEMEX,30000 / A1 / GENERICO,40000 / G10 / CEMEX,40001 / G20 / CEMEX,40002 / G40 / CEMEX,50001 / ARL / CEMEX,50002 / AR1 / CEMEX,50003 / AR2 / ARENA SECA,60000 / A92 / CEMEX,60001 / M12 / CEMEX,60002 / A55 / CEMEX,60003 / R22 / CEMEX,60004 / A52 / CEMEX,70001 / KRYTON / AUTOSELLANTE,70003 / SKLITE / IMPERMEABILIZANTE
P004,10000014,10000014,20000014,A-550-2-B-28-18-B-2-000,A-550-2-B-28-18,ALR,A,      ,550 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1038.81,0,605.00,210.00,,980.00,,,,670.00,1.81,2.11,,4.10,,,
P004,10000015,10000015,20000015,A-550-2-B-031-50-B-2-000,A-550-2-B-031-50,ALR,A,      ,550 ,3,03 ,2 ,B,50 ,50 ,B,2   ,000,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,1001.63,0,670.00,185.00,484.00,261.00,,801.00,,,5.03,1.34,,,,,
P004,10000044,10000044,20000042,A-300-2-1-03-14-D-2-100,A-300-2-1-03-14,ALR,A,      ,300 ,3,03 ,2 ,1,14 ,14 ,D,2   ,100,1,,01/01/2050,Active,REVENIMIENTO 14 cm +/- 3.5,998.23,0,465.00,206.00,,1080.00,,,,600.00,,1.63,,3.72,,,
P004,10000055,10000055,20000014,A-550-2-B-28-18-D-2-000,A-550-2-B-28-18,ALR,A,      ,550 ,28 ,28 ,2 ,B,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1002.04,0,605.00,200.00,,1010.00,,,,573.00,2.12,1.21,,3.90,,,
P004,10000074,10000074,20000067,A-450-2-B-28-18-B-2-000,A-450-2-B-28-18,ALR,A,      ,450 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1000.95,0,550.00,206.00,273.00,637.00,,,,700.00,1.10,2.20,,3.30,,,
P004,10000075,10000075,20000068,A-450-2-B-28-18-B-2-E20,A-450-2-B-28-18,ALR,A,      ,450 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,E20,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1013.51,0,550.00,200.00,271.00,631.00,,694.00,,,1.65,2.75,,3.85,,,
P004,10000076,10000076,20000069,A-550-2-B-031-50-D-2-100,A-550-2-B-031-50,ALR,A,      ,550 ,3,03 ,2 ,B,50 ,50 ,D,2   ,100,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,1001.63,0,670.00,185.00,484.00,261.00,,801.00,,,5.03,1.34,,,,,
P004,10000099,10000099,20000091,A-450-2-1-28-22-D-2-E20,A-450-2-1-28-22,ALR,A,      ,450 ,28 ,28 ,2 ,1,22 ,22 ,D,2   ,E20,1,,01/01/2050,Active,REVENIMIENTO 22 cm +/-3.5 cm,991.27,0,550.00,200.00,271.00,631.00,,,,694.00,1.65,2.75,,3.85,,,
P004,10000100,10000100,20000091,A-450-2-1-28-22-B-2-E20,A-450-2-1-28-22,ALR,A,      ,450 ,28 ,28 ,2 ,1,22 ,22 ,B,2   ,E20,1,,01/01/2050,Active,REVENIMIENTO 22 cm +/-3.5 cm,991.27,0,550.00,200.00,271.00,631.00,,,,694.00,1.65,2.75,,3.85,,,
P004,10000048,10000048,20000046,S-300-2-B-03-18-B-2-101,S-300-2-B-03-18,AUS,S,      ,300 ,03 ,03 ,2 ,B,18 ,18 ,B,2   ,101,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,996.92,0,480.00,216.00,,1022.00,,,,606.00,,1.44,,4.32,,6.13,
P004,10000086,10000086,20000079,S-300-2-B-28-18-D-2-101,S-300-2-B-28-18,AUS,S,      ,300 ,28 ,28 ,2 ,B,18 ,18 ,D,2   ,101,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,987.44,0,377.00,205.00,,1000.00,,,,719.00,,1.90,,3.20,,6.00,
P004,10000016,10000016,20000016,C-300-2-B-28-50-B-2-000,C-300-2-B-28-50,AUT,C,      ,300 ,28 ,28 ,2 ,B,50 ,50 ,B,2   ,000,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,998.13,0,450.00,185.00,466.00,251.00,,,,1024.00,3.60,1.35,,,,,
P004,10000017,10000017,20000017,C-300-2-B-141-50-B-2-000,C-300-2-B-141-50,AUT,C,      ,300 ,14h,14 ,2 ,B,50 ,50 ,B,2   ,000,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,997.79,0,485.00,185.00,465.00,251.00,,,,994.00,3.88,1.46,,,,,
P004,10000018,10000018,20000018,C-300-2-B-071-50-B-2-000,C-300-2-B-071-50,AUT,C,      ,300 ,7,07 ,2 ,B,50 ,50 ,B,2   ,000,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,998.04,0,495.00,185.00,463.00,250.00,,,,989.00,3.96,1.49,,,,,
P004,10000019,10000019,20000019,C-300-2-B-031-50-B-2-000,C-300-2-B-031-50,AUT,C,      ,300 ,3,03 ,2 ,B,50 ,50 ,B,2   ,000,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,997.70,0,550.00,185.00,468.00,252.00,,,,934.00,4.40,1.65,,,,,
P004,10000041,10000041,20000040,C-350-2-1-28-55-B-2-000,C-350-2-1-28-55,AUT,C,      ,350 ,28 ,28 ,2 ,1,55 ,55 ,B,2   ,000,1,,01/01/2050,Active,EXTENSIBILIDAD 55 cm +/-5,988.13,0,490.00,180.00,,800.00,,,,887.00,3.08,1.96,,3.50,,,
P004,10000042,10000042,20000040,C-350-2-1-28-55-D-2-000,C-350-2-1-28-55,AUT,C,      ,350 ,28 ,28 ,2 ,1,55 ,55 ,D,2   ,000,1,,01/01/2050,Active,EXTENSIBILIDAD 55 cm +/-5,1009.81,0,490.00,200.00,,800.00,,,,887.00,4.20,2.10,,3.92,,,
P004,10000051,10000051,20000049,C-300-2-B-07-50-D-2-100,C-300-2-B-07-50,AUT,C,      ,300 ,07 ,07 ,2 ,B,50 ,50 ,D,2   ,100,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,979.09,0,450.00,175.00,,820.00,,,,890.00,3.50,1.86,,3.22,,,
P004,10000024,10000024,20000024,6-300-2-B-28-18-B-2-000,6-300-2-B-28-18,CON,6,      ,300 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,995.49,0,377.00,217.00,,1000.00,,,,719.00,,1.51,,2.64,,,
P004,10000024,10000024,20000024,6-300-2-B-28-18-B-2-000,6-300-2-B-28-18,CON,6,      ,300 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,000,2,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1016.59,0,377.00,237.00,,980.00,,,,739.00,,1.90,,3.20,,,
P004,10000025,10000025,20000025,6-300-2-B-031-14-B-2-000,6-300-2-B-031-14,CON,6,      ,300 ,3,03 ,2 ,B,14 ,14 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 14 cm +/- 3.5,995.54,0,465.00,206.00,,1048.00,,,,625.00,,1.86,,3.26,,,
P004,10000026,10000026,20000026,6-300-2-B-28-14-B-2-000,6-300-2-B-28-14,CON,6,      ,300 ,28 ,28 ,2 ,B,14 ,14 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 14 cm +/- 3.5,996.04,0,365.00,207.00,,1014.00,,,,743.00,,1.46,,2.56,,,
P004,10000027,10000027,20000027,6-300-2-B-071-10-D-2-000,6-300-2-B-071-10,CON,6,      ,300 ,7,07 ,2 ,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,995.60,0,388.00,192.00,,1115.00,,,,662.00,,1.55,,2.72,,,
P004,10000028,10000028,20000028,6-300-2-B-28-10-D-2-000,6-300-2-B-28-10,CON,6,      ,300 ,28 ,28 ,2 ,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,996.25,0,343.00,197.00,,1096.00,,,,708.00,,1.37,,2.40,,,
P004,10000031,10000031,20000031,6-200-2-B-28-10-D-2-000,6-200-2-B-28-10,CON,6,      ,200 ,28 ,28 ,2 ,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,996.27,0,268.00,195.00,,1059.00,,,,814.00,,1.07,,1.88,,,
P004,10000032,10000032,20000032,6-250-2-B-28-18-B-2-000,6-250-2-B-28-18,CON,6,      ,250 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,995.82,0,330.00,220.00,,976.00,,,,776.00,,1.32,,2.31,,,
P004,10000035,10000035,20000035,6-350-2-B-28-18-B-2-000,6-350-2-B-28-18,CON,6,      ,350 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1018.49,0,421.00,225.00,,971.00,,,,750.00,,1.21,,2.90,,,
P004,10000036,10000036,20000036,6-350-2-B-071-18-B-2-000,6-350-2-B-071-18,CON,6,      ,350 ,7,07 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1010.12,0,466.00,217.00,,970.00,,,,710.00,,1.86,,3.26,,,
P004,10000038,10000038,20000035,6-350-2-B-28-18-D-2-000,6-350-2-B-28-18,CON,6,      ,350 ,28 ,28 ,2 ,B,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,1037.15,0,421.00,229.00,,1090.00,,,,670.00,,1.68,,2.95,,,
P004,10000040,10000040,20000039,6-300-2-1-28-18-D-2-000,6-300-2-1-28-18,CON,6,      ,300 ,28 ,28 ,2 ,1,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,994.44,0,377.00,215.00,,1000.00,,,,719.00,,1.90,,3.20,,,
P004,10000052,10000052,20000050,6-250-2-B-031-18-D-2-000,6-250-2-B-031-18,CON,6,      ,250 ,3,03 ,2 ,B,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,999.72,0,380.00,240.00,,942.00,,,,725.00,,1.50,,2.50,,,
P004,10000060,10000060,20000032,6-250-2-B-28-18-D-2-000,6-250-2-B-28-18,CON,6,      ,250 ,28 ,28 ,2 ,B,18 ,18 ,D,2   ,000,1,DIRECTO REV 18,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,995.82,0,330.00,220.00,,976.00,,,,776.00,,1.32,,2.31,,,
P004,10000063,10000063,20000039,6-300-2-1-28-18-B-2-000,6-300-2-1-28-18,CON,6,      ,300 ,28 ,28 ,2 ,1,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,987.61,0,365.00,215.00,,1023.00,,,,690.00,,2.91,,1.66,,,
P004,10000097,10000097,20000090,6-150-2-1-28-18-D-2-000,6-150-2-1-28-18,CON,6,      ,150 ,28 ,28 ,2 ,1,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,996.58,0,247.00,208.00,,951.00,,,,905.00,,0.99,,1.73,,,
P004,10000098,10000098,20000090,6-150-2-1-28-18-B-2-000,6-150-2-1-28-18,CON,6,      ,150 ,28 ,28 ,2 ,1,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,996.58,0,247.00,208.00,,951.00,,,,905.00,,0.99,,1.73,,,
P004,10000429,10000429,20000377,6-350-1-1-03-18-D-2-100,6-350-1-1-03-18,CON,6,      ,350 ,03 ,03 ,1 ,1,18 ,18 ,D,2   ,100,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,990.99,0,510.00,216.00,1000.00,,,,,596.00,1.02,2.29,,3.57,,,
P004,10000065,10000065,20000058,F-300-2-B-031-18-D-2-100,F-300-2-B-031-18,CRR,F,      ,300 ,3,03 ,2 ,B,18 ,18 ,D,2   ,100,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,993.45,0,480.00,216.00,,1022.00,,,,606.00,,1.44,,3.92,,,
P004,10000073,10000073,20000066,F-350-2-B-031-14-B-2-100,F-350-2-B-031-14,CRR,F,      ,350 ,3,03 ,2 ,B,14 ,14 ,B,2   ,100,1,,01/01/2050,Active,REVENIMIENTO 14 cm +/- 3.5,997.69,0,510.00,216.00,,1014.00,,,,596.00,1.02,2.29,,3.57,,,
P004,10000092,10000092,20000085,F-350-2-1-03-18-B-2-000,F-350-2-1-03-18,CRR,F,      ,350 ,03 ,03 ,2 ,1,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,997.69,0,510.00,216.00,,1014.00,,,,596.00,1.02,2.29,,3.57,,,
P004,10000139,10000139,20000127,N-550-1-1-814-E70-B-2-NOC,N-550-1-1-814-E70,CRR,N,      ,550 ,14h,01 ,1 ,1,E70,70 ,B,2   ,NOC,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,1005.30,0,670.00,192.00,685.00,,,845.00,,,4.52,,6.70,,,,
P004,10000140,10000140,20000128,N-550-1-1-814-E70-B-2-DIA,N-550-1-1-814-E70,CRR,N,      ,550 ,14h,01 ,1 ,1,E70,70 ,B,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,1005.30,0,670.00,192.00,685.00,,,845.00,,,4.52,,6.70,,,,
P004,10000078,10000078,20000071,C-250-1-1-01-75-D-2-DIA,C-250-1-1-01-75,ESP,C,      ,250 ,01 ,01 ,1 ,1,75 ,75 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 75 cm +/-5,997.24,0,650.00,185.00,700.00,,,842.00,,,4.55,,7.80,,,,
P004,10000012,10000012,20000012,5-350-2-B-28-18-B-2-000,5-350-2-B-28-18,LIN,5,      ,350 ,28 ,28 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,995.58,0,421.00,218.00,,1009.00,,,,670.00,,1.68,,2.95,,,
P004,10000013,10000013,20000013,6-350-2-B-07-18-B-2-000,6-350-2-B-07-18,LIN,6,      ,350 ,07 ,07 ,2 ,B,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,994.69,0,466.00,217.00,,1029.00,,,,612.00,,1.86,,3.26,,,
P004,10000020,10000020,20000020,P-045-40-B-28-10-D-2-000,P-045-40-B-28-10,PAV,P,      ,045 ,28 ,28 ,40,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,997.75,0,342.00,198.00,,655.00,540.00,,,613.00,,1.03,,2.74,,,
P004,10000021,10000021,20000021,P-045-40-B-141-10-D-2-000,P-045-40-B-141-10,PAV,P,      ,045 ,14h,14 ,40,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,996.76,0,377.00,193.00,,674.00,555.00,,,560.00,,1.13,,3.02,,,
P004,10000022,10000022,20000022,P-045-40-B-071-10-D-2-000,P-045-40-B-071-10,PAV,P,      ,045 ,7,07 ,40,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,996.19,0,387.00,193.00,,676.00,557.00,,,546.00,,1.16,,3.10,,,
P004,10000023,10000023,20000023,P-045-40-B-031-10-D-2-000,P-045-40-B-031-10,PAV,P,      ,045 ,3,03 ,40,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,997.33,0,442.00,193.00,,685.00,564.00,,,486.00,,1.33,,3.54,,,
P004,10000057,10000057,20000054,P-045-40-B-03-10-D-2-000,P-045-40-B-03-10,PAV,P,      ,045 ,03 ,03 ,40,B,10 ,10 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,1019.43,0,442.00,215.00,,712.00,470.00,,,550.00,,2.10,,3.54,,,
