Planta,Número de remisión,Clasificación,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,Revenimiento/Extensibilidad de Muestreo,Masa Unitaria,Temperatura ambiente,Temperatura del concreto,EDAD 1,EDAD 2,EDAD 3,EDAD 4,CARGA 1 (KG),CARGA 2 (KG),CARGA 3 (KG),CARGA 4 (KG)
Planta 4,4250,F'c,45690,01:52,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2402.32125,20,29,7,14,28,28,30560,32780,40310,38330
Planta 4,4119,F'c,45796,14:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2402.32125,20,29.5,14,14,22,24,38810,38810,58720,61520
Planta 4,4125,F'c,45799,19:50,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,19,29.5,14,18,20,24,40320,45853,49325,57990
Planta 4,4130,F'c,45801,21:15,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,19,28.8,16,20,24,24,43730,49720,54820,56916
Planta 4,4140,F'c,45802,16:35,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2382.42625,20,28,7,14,28,28,36690,43150,40460,45230
Planta 4,4158,F'c,45803,17:08,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2382.42625,20,28,7,14,28,28,38530,36400,42050,44510
Planta 4,4178,F'c,45805,19:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2422.21625,20,29,7,14,28,28,59310,54290,75130,73820
Planta 4,4175,F'c,45805,17:15,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,81,2422.21625,20,29,16,18,20,20,45720,51310,59212,61710
Planta 4,4182,F'c,45806,17:20,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2422.21625,20,29,7,14,28,28,33800,52850,78450,77110
Planta 4,4189,F'c,45807,09:11,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2402.32125,20,29,7,14,28,28,31830,38480,76820,75120
Planta 4,4200,F'c,45807,18:21,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2422.21625,21,29,7,14,28,28,48090,50310,68240,65480
Planta 4,4201,F'c,45808,10:32,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2402.32125,21,28,7,14,28,28,30040,53340,80130,75400
Planta 4,4211,F'c,45808,15:04,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,70,2442.11125,20,29,7,14,28,28,51930,53620,81310,76450
Planta 4,4212,F'c,45808,15:33,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2402.32125,20,29,7,14,28,28,67600,62350,79650,82540
Planta 4,4228,F'c,45808,21:35,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2442.11125,20,29,7,14,28,28,39150,59410,78540,74960
Planta 4,4207,F'c,45808,13:10,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,21,29.5,14,18,20,24,37820,44110,53888,58851
Planta 4,4239,F'c,45810,16:35,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2402.32125,20,29,7,14,28,28,33990,38310,40450,42810
Planta 4,4268,F'c,45811,21:05,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2422.21625,19,30,15,16,24,24,33437,33180,61078,60820
Planta 4,4272,F'c,45812,11:40,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2422.21625,20,28,1,1,3,3,35158,33251,39596,37422
Planta 4,4284,F'c,45812,17:39,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2442.11125,20,28,7,14,28,28,53730,61460,62220,60410
Planta 4,4302,F'c,45813,17:24,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2402.32125,20,29,7,14,28,28,24300,31300,40710,41300
Planta 4,4307,F'c,45813,21:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2422.21625,21,30,15,16,18,20,49848,51474,55993,60230
Planta 4,4332,F'c,45814,23:58,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2422.21625,19,28,1,1,3,3,29076,31980,31926,32971
Planta 4,4321,F'c,45814,18:40,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,20,30,14,18,20,24,48501,46728,53821,59890
Planta 4,4339,F'c,45815,09:17,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2442.11125,20,29,1,1,3,3,51290,63820,69120,71230
Planta 4,4339,F'c,45815,09:17,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2442.11125,20,30,1,1,3,3,51290,63820,69120,71230
Planta 4,4343,F'c,45817,19:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2402.32125,21,29,14,16,18,20,46962,51173,55721,59345
Planta 4,4366,F'c,45818,16:58,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2422.21625,21,30,7,14,28,28,53070,72410,36250,30120
Planta 4,4368,F'c,45818,19:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,84,2422.21625,19,30.5,16,18,20,20,43352,46419,50481,59927
Planta 4,4387,F'c,45820,18:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,21,30.5,16,18,,,53031,55280,,
Planta 4,4396,F'c,45820,20:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,20,31,18,20,22,24,52395,53159,57220,60310
Planta 4,4401,F'c,45821,22:53,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2442.11125,20,28,1,1,3,3,34890,36120,33900,37420
Planta 4,4411,F'c,45824,04:31,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2422.21625,20,30,7,14,28,28,42210,48340,50800,55740
Planta 4,4450,F'c,45824,17:23,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2422.21625,21,29,7,14,28,28,29750,53620,58220,61310
Planta 4,4452,F'c,45825,06:42,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2442.11125,20,30,7,14,28,28,58630,63380,65210,60170
Planta 4,4420,F'c,45825,09:24,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,72,2422.21625,20,30,7,14,28,28,34455,39395,40210,52210
Planta 4,4474,F'c,45825,23:50,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2422.21625,19,28,7,14,28,28,34450,39390,48770,52210
Planta 4,4457,F'c,45825,13:15,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,81,2402.32125,21,31,20,22,24,,58307,62425,66089,
Planta 4,4461,F'c,45825,19:10,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,71,2402.32125,18,29,3,3,3,3,71500,66000,62220,64510
Planta 4,4469,F'c,45825,22:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2422.21625,18,29,3,3,3,3,34510,34650,37160,35980
Planta 4,4476,F'c,45826,11:06,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2402.32125,19,28,7,14,28,28,36200,43600,49220,51550
Planta 4,4481,F'c,45826,13:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2382.42625,21,29.5,18,20,,,61321,65289,,
Planta 4,4496,F'c,45826,20:15,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2422.21625,18,29,3,3,3,3,67220,66230,69120,66690
Planta 4,4509,F'c,45827,18:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2402.32125,20,30.5,18,20,22,24,56450,59220,62310,65110
Planta 4,4511,F'c,45827,19:35,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,20,31,18,20,24,24,55800,57620,59270,62810
Planta 4,4502,F'c,45827,11:40,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2422.21625,19,28,7,14,28,28,45900,47300,55210,53590
Planta 4,4522,F'c,45827,00:15,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2382.42625,18,29,3,3,3,3,32280,35680,34250,33190
Planta 4,4551,F'c,45828,02:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2382.42625,18,30.5,14,16,18,20,43870,47190,51250,56580
Planta 4,4566,F'c,45831,16:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2422.21625,21,30,1,1,3,3,20090,35880,40150,37610
Planta 4,4571,F'c,45831,22:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,19,30.5,14,16,18,20,47100,52190,54390,59160
Planta 4,4576,F'c,45832,22:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2422.21625,19,30,14,18,20,22,38210,52460,60150,61130
Planta 4,4581,F'c,45832,00:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,84,2422.21625,19,30,14,16,18,20,45200,50270,54230,59550
Planta 4,4595,F'c,45833,14:22,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2442.11125,21,29,7,14,28,28,25350,33200,41100,40890
Planta 4,4605,F'c,45833,21:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2402.32125,19,30,14,16,18,22,44880,53630,59310,60350
Planta 4,4628,F'c,45834,20:50,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,85,2382.42625,20,31,17,19,21,23,56020,59820,61230,64540
Planta 4,4633,F'c,45834,22:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,83,2422.21625,20,31,16,18,20,22,53600,55580,59380,62910
Planta 4,4658,F'c,45838,19:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,81,2402.32125,20,31,18,20,22,24,52820,55100,57690,59210
Planta 4,4663,F'c,45838,21:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,81,2402.32125,20,30.5,18,20,22,24,51320,54610,60870,62120
Planta 4,4669,F'c,45839,18:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,80,2414.25825,20,29,14,16,18,20,49230,50860,59230,62250
Planta 4,4669,F'c,45839,20:45,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2402.32125,20,31,14,16,18,20,49230,50860,59230,62250
Planta 4,4683,F'c,45840,14:30,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,82,2402.32125,19,31,16,18,20,22,49550,53920,58320,62210
