Planta,Número de remisión,CARGA 1 (KG),CARGA 2 (KG),CARGA 3 (KG)
Planta 3,2930,36380,,
Planta 3,2933,57850,,
Planta 3,2941,55050,,
Planta 3,2945,52300,,
Planta 3,2949,53200,,
Planta 3,2954,55240,,
Planta 3,2960,36370,57820,59910
Planta 3,2962,51630,59910,66860
Planta 3,2966,30250,34900,40370
Planta 3,2970,47100,55290,
Planta 3,2972,52120,60590,
Planta 3,2976,,0,
Planta 3,2981,56490,66020,
Planta 3,2985,55920,65320,
Planta 3,2989,49490,64100,
Planta 3,2997,48520,63560,
Planta 3,3002,43890,48840,
Planta 3,3006,63310,64780,
Planta 3,2976,31050,34530,45630
Planta 3,3010,34740,41610,42430
Planta 3,3013,51480,61590,
Planta 3,3018,53070,60680,
Planta 3,3023,35870,46620,
Planta 3,3026,30550,43500,
Planta 3,3030,48960,66190,
Planta 3,3035,49390,63560,
Planta 3,3040,48760,62480,
Planta 3,3046,36200,46210,
Planta 3,3048,49840,60820,65320
Planta 3,3052,30550,50930,
Planta 3,3054,38810,42730,43120
Planta 3,3059,50370,60400,
Planta 3,3065,49910,61520,
Planta 3,3070,48980,60590,
Planta 3,3075,49580,61350,
Planta 3,3079,32110,42070,44320
Planta 3,3083,49380,61970,67890
Planta 3,3088,33570,55780,61300
Planta 3,3090,50670,61270,65500
Planta 3,3095,47090,60590,67800
Planta 3,3100,48320,60620,
Planta 3,3104,29320,32070,
Planta 3,3105,37130,38680,42230
Planta 3,3109,50420,61300,
Planta 3,3114,49880,62450,
Planta 3,3119,49590,61580,
Planta 3,3124,36870,41780,46340
Planta 3,3128,50460,60820,
Planta 3,3132,49550,61560,
Planta 3,3136,49670,59550,
Planta 3,3141,50170,62090,
Planta 3,3147,53470,61870,
Planta 3,3152,52740,63370,
Planta 3,3156,44900,61350,
Planta 3,3160,31720,43650,
Planta 3,3164,49830,61840,
Planta 3,3169,50230,65480,
Planta 3,3173,33250,46560,
Planta 3,3174,49340,61350,66840
Planta 3,3179,49560,62480,
Planta 3,3184,50240,62230,
Planta 3,3188,35430,46580,
Planta 3,3189,60820,61830,
Planta 3,3193,63490,66580,
Planta 3,3197,61480,62350,
Planta 3,3202,60380,61560,
Planta 3,3206,63540,64370,
Planta 3,3210,31720,38210,
Planta 3,3215,49310,60440,
Planta 3,3219,50940,60480,
Planta 3,3223,48070,60550,
Planta 3,3227,48790,62350,
Planta 3,3234,47790,61450,
Planta 3,3235,50880,59280,
Planta 3,3241,50490,61280,
Planta 3,3246,49750,63220,
Planta 3,3251,49830,62850,
Planta 3,3255,49510,61380,
Planta 3,3259,50740,63540,
Planta 3,3265,51090,65380,
Planta 3,3272,49290,61280,
Planta 3,3277,48010,64350,
Planta 3,3282,49580,62560,
Planta 3,3287,35350,46380,
Planta 3,3289,59530,66990,
Planta 3,3298,47850,60070,
Planta 3,3301,,,
Planta 3,3307,,,
Planta 3,3311,,,
