Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,CARGA 1 (KG),CARGA 2 (KG),CARGA 3 (KG),CARGA 4 (KG)
Planta 3,2930,F'c,DÍA,1,45846,5:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,36380,,,
Planta 3,2933,F'c,HORA,14,45846,14:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,57850,,,
Planta 3,2941,F'c,HORA,14,45846,16:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,55050,,,
Planta 3,2945,F'c,HORA,14,45846,19:05,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,52300,,,
Planta 3,2949,F'c,HORA,14,45846,22:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,53200,,,
Planta 3,2954,F'c,HORA,14,45846,23:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,55240,,,
Planta 3,2960,F'c,HORA,18,45847,19:15,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,36370,57820,59910,
Planta 3,2962,F'c,HORA,14,45847,20:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,51630,59910,66860,
Planta 3,2966,F'c,DÍA,1,45848,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,30250,34900,40370,
Planta 3,2970,F'c,HORA,18,45848,18:10,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,47100,55290,,
Planta 3,2972,F'c,HORA,14,45848,18:56,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,52120,60590,,
Planta 3,2976,F'c,DÍA,24,45849,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,,,,
Planta 3,2981,F'c,HORA,14,45849,2981,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,56490,66020,,
Planta 3,2985,F'c,HORA,14,45849,16:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,55920,65320,,
Planta 3,2989,F'c,HORA,14,45849,17:22,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49490,64100,,
Planta 3,2997,F'c,HORA,14,45849,22:13,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,48520,63560,,
Planta 3,3002,F'c,HORA,18,45850,12:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,43890,48840,,
Planta 3,3006,F'c,HORA,14,45850,15:47,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,63310,64780,,
Planta 3,2976,F'c,DÍA,1,45849,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,31050,34530,45630,
Planta 3,3010,F'c,DÍA,1,45852,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,34740,41610,42430,
Planta 3,3013,F'c,HORA,14,45852,14:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,51480,61590,,
Planta 3,3018,F'c,HORA,14,45852,17:28,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,53070,60680,,
Planta 3,3023,F'c,HORA,14,45852,20:32,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,35870,46620,,
Planta 3,3026,F'c,DÍA,1,45853,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,30550,43500,,
Planta 3,3030,F'c,HORA,14,45853,17:35,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,48960,66190,,
Planta 3,3035,F'c,HORA,14,45853,18:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49390,63560,,
