Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,EDAD 1,EDAD 2,EDAD 3,EDAD 4,CARGA 1 (KG),CARGA 2 (KG),CARGA 3 (KG),CARGA 4 (KG)
Planta 2,7880,F'c,DÍA,45845,12:40,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,43910,46580,,
Planta 2,7881,F'c,DÍA,45845,12:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,,46580,66515,66717
Planta 2,7891,F'c,DÍA,45845,15:22,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,,
Planta 2,7908,F'c,DÍA,45846,00:59,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,1,3,3,,,,
Planta 2,7942,F'c,DÍA,45847,00:59,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,77800,48700,48750,49378
Planta 2,7952,F'c,DÍA,45847,16:17,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,,
Planta 2,7958,F'c,DÍA,45847,21:27,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,58830,49900,63117,64115
Planta 2,7969,F'c,DÍA,45848,2:48,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,1,3,3,,,43500,43500
Planta 2,7979,F'c,DÍA,45848,6:33,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,1,3,3,,,40710,43500
Planta 2,8005,F'c,DÍA,45849,15:41,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,80100,98150,99151,62112
Planta 2,8010,F'c,DÍA,45849,19:37,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,1,3,3,64760,64760,68610,
Planta 2,8013,F'c,DÍA,45849,22:33,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,CUBO 15 X 15,1,1,3,3,33100,68600,41210,90000
Planta 2,8036,F'c,DÍA,45851,01:12,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,,53191,69990,69990
Planta 2,8042,F'c,DÍA,45851,04:09,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,,
Planta 2,8051,F'c,DÍA,45851,7:27,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,,
Planta 2,8094,F'c,DÍA,45853,10:00,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,7,14,28,28,102133,102133,,
Planta 2,8103,F'c,DÍA,45853,12:05,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,7,14,28,28,94507,94507,,
Planta 2,8115,F'c,DÍA,45853,14:35,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,7,14,28,28,119943,119943,,
Planta 2,8124,F'c,DÍA,45853,18:46,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,,38422,45424,458733
Planta 2,8134,MR,DÍA,45853,8:47,4,VIGA,VIGA,VIGA,CUBO 10 X 10,7,28,28,,2300,,3328,
Planta 2,8163,F'c,DÍA,45855,21:06,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,29940,48628,,
Planta 2,8171,F'c,DÍA,45856,9:44,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,7,14,28,28,62019,67698,,
Planta 2,8179,MR,DÍA,45857,13:30,4,VIGA,VIGA,VIGA,VIGA,7,28,28,,2186,,,
Planta 2,8200,F'c,DÍA,45857,13:30,4,CUBO 10 X 10,CILINDRO 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,27783,34552,,
Planta 2,8234,MR,DÍA,45860,7:33,4,VIGA,VIGA,VIGA,VIGA,7,28,28,,2425,,,
Planta 2,8263,F'c,DÍA,45861,01:17,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,,36591,,
Planta 2,8295,F'c,DÍA,45861,16:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,,50273,,
Planta 2,8308,F'c,DÍA,45861,19:17,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,7,14,28,28,63146,74928,,
Planta 2,8318,F'c,DÍA,45861,22:12,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,99442,102340
Planta 2,8263,F'c,DÍA,45861,01:19,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,7,14,28,28,33516,38871,,
Planta 2,8295,F'c,DÍA,45861,16:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,45776,50273,,
Planta 2,8308,F'c,DÍA,45861,19:17,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,7,14,28,28,,74928,,
Planta 2,8318,F'c,DÍA,45861,22:12,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,,
Planta 2,8345,MR,DÍA,45862,10:54,4,VIGA,VIGA,VIGA,VIGA,7,28,28,,2514,,,
Planta 2,8366,MR,DÍA,45863,8:59,4,VIGA,VIGA,VIGA,VIGA,7,28,28,,2865,,,
Planta 2,8386,F'c,DÍA,45863,15:33,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,,
Planta 2,8416,MR,DÍA,45864,9:14,4,VIGA,VIGA,VIGA,VIGA,7,28,28,,2985,,,
Planta 2,8418,MR,DÍA,45864,9:52,4,VIGA,VIGA,VIGA,VIGA,7,28,28,,2985,,,
Planta 2,8435,F'c,DÍA,45865,13:32,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,1,1,3,3,,,,
Planta 2,8445,F'c,DÍA,45865,16:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,1,3,3,,,,
Planta 2,8452,F'c,DÍA,45865,18:03,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,1,1,3,3,,,,
Planta 2,8470,F'c,HORA,45866,17:50,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,0,0,1,1,80985,80985,,
Planta 2,8488,F'c,DÍA,45867,13:19,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,7,14,28,28,31370,,,
