Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,Revenimiento/Extensibilidad de Muestreo,Masa Unitaria,Temperatura ambiente,Temperatura del concreto,EDAD 1,EDAD 2,EDAD 3,EDAD 4
Planta 3,2930,F'c,DÍA,1,45846,5:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2347.35,17,23,1,1,3,
Planta 3,2933,F'c,HORA,14,45846,14:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,79,2417.63,35,29,0,0,1,1
Planta 3,2941,F'c,HORA,14,45846,16:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2439.72,35,31,0,0,1,1
Planta 3,2945,F'c,HORA,14,45846,19:05,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2399.56,27,29,0,0,1,1
Planta 3,2949,F'c,HORA,14,45846,22:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2399.56,25,32,0,0,1,1
Planta 3,2954,F'c,HORA,14,45846,23:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2393.53,23,31,0,0,1,1
Planta 3,2960,F'c,HORA,18,45847,19:15,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2427.67,27,30,0,0,1,1
Planta 3,2962,F'c,HORA,14,45847,20:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2409.6,26,33,0,0,1,1
Planta 3,2966,F'c,DÍA,1,45848,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2341.32,19,20,1,1,3,
Planta 3,2970,F'c,HORA,18,45848,18:10,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2399.56,25,29,0,0,1,1
Planta 3,2972,F'c,HORA,14,45848,18:56,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2409.6,24,31,0,0,1,1
Planta 3,2976,F'c,DÍA,24,45849,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2389.52,27,25,,,,
Planta 3,2981,F'c,HORA,14,45849,2981,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2403.57,35,32,0,0,1,1
Planta 3,2985,F'c,HORA,14,45849,16:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2399.56,34,32,0,0,1,1
Planta 3,2989,F'c,HORA,14,45849,17:22,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2419.64,29,32,0,0,1,1
Planta 3,2997,F'c,HORA,14,45849,22:13,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2401.56,26,31,0,0,1,1
Planta 3,3002,F'c,HORA,18,45850,12:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2409.6,36,33,0,0,1,1
Planta 3,3006,F'c,HORA,14,45850,15:47,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2419.64,38,34.2,0,0,1,1
Planta 3,2976,F'c,DÍA,1,45849,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2389.53,25,27,1,1,3,
Planta 3,3010,F'c,DÍA,1,45852,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2987,25,28,1,1,3,
Planta 3,3013,F'c,HORA,14,45852,14:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2991,37,34,0,0,1,1
Planta 3,3018,F'c,HORA,14,45852,17:28,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2997,28,32,0,0,1,1
Planta 3,3023,F'c,HORA,14,45852,20:32,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,72,2421,24,29,0,0,1,1
Planta 3,3026,F'c,DÍA,1,45853,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2961,24,25,1,1,3,
Planta 3,3030,F'c,HORA,14,45853,17:35,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,3007,32,31,0,0,1,1
Planta 3,3035,F'c,HORA,14,45853,18:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2961,29,31,0,0,1,1
Planta 3,3040,F'c,HORA,14,45853,20:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2975,27,29,0,0,1,1
Planta 3,3046,F'c,HORA,14,45853,20:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2963,25,30.1,0,0,1,1
Planta 3,3048,F'c,HORA,14,45854,14:34,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2413,37,33.1,0,0,1,1
Planta 3,3052,F'c,HORA,14,45854,20:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2443,29,32,0,0,1,1
Planta 3,3054,F'c,DÍA,1,45855,6:01,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2411,28,25,1,1,3,
Planta 3,3059,F'c,HORA,14,45855,15:03,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2415,36,33.8,0,0,1,1
Planta 3,3065,F'c,HORA,14,45855,18:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2409,29,31,0,0,1,1
