Remisión,Fecha de muestreo,Tipo de muestra 1,Tipo de muestra 2,Tipo de muestra 3,Tipo de muestra 4,EDAD 1,EDAD 2,EDAD 3,EDAD 4 ,RESISTENCIA 1,RESISTENCIA 2,RESISTENCIA 3,RESISTENCIA 4,Revenimiento,Masa Unitaria,Temperatura Ambiente,Temperatura Concreto
23104,02/06/2025,VIGA,VIGA,VIGA,VIGA,7,28,28,,30.27,37.2,32,,16.0,2356,18,
23120,03/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,7,14,28,288.1,237.16,264,322.83,19.0,2243,22,
23131,03/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,7,14,28,173.4,136.49,154,195.48,17.0,2278,24,
23137,04/06/2025,VIGA,VIGA,VIGA,VIGA,7,,,,32.13,,,,16.0,2379,,17
23155,05/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,227.34,,,,17.0,2286,20,
23167,05/06/2025,VIGA,VIGA,VIGA,VIGA,7,14,28,28,36.72,52,67.32,68.58,,1824,,
23180,06/06/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,43.93,42.65,40.54,43.45,17.0,,20,
23182,06/06/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,37.95,37.21,40.07,38.61,18.0,,25,
23194,07/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,164.16,173,,,18.0,,25,
23199,09/06/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,41.9,43.1,48.57,44.96,18.0,,,
23200,09/06/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,41.98,39.37,42.38,44.67,17.0,,28,
23202,09/06/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,41.22,39.15,44.76,45.37,17.0,,,
23211,11/06/2025,VIGA,VIGA,VIGA,VIGA,7,,,,33.07,,,,15.0,,14,
23225,12/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,7,14,,203.85,187.53,225,,18.0,,22,
23247,14/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,28,28,,176.49,221.31,213.75,,16.0,,18,
23248,14/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,28,28,,218.43,286.47,279.99,,17.0,,18,
23250,14/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,3,7,7,266.67,266.76,274.23,277.83,18.0,,18,
23254,16/06/2025,VIGA,VIGA,VIGA,VIGA,7,28,28,,33.2,38.4,31.6,,18.0,,20,
23277,18/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,175.86,201,180.18,237.06,16.0,,17,
23289,20/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,28,28,,167.85,218.97,229.68,,18.0,,20,
23292,20/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,28,28,,178.47,219.96,246.51,,18.0,,18,
23298,20/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,28,28,,162.18,248.04,241.38,,18.0,,20,
23301,21/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,1,3,3,355.86,365.13,388.62,355.41,18.0,,22,
23313,25/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,146.7,174,181.98,191.61,21.0,,18,
23317,26/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,126.54,154,,,16.0,,20,24
23326,27/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,3,7,14,14,236.88,304.74,324,321.84,19.0,,22,
23329,27/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,197.73,203,225.63,224.19,14.0,2288,17,
23330,27/06/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,3,7,14,14,207.27,262.62,281,279.54,18.0,2232,,
23351,01/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,133.56,155,169.92,178.2,17.0,2248,,
