Planta,Número de remisión,Fecha muestreo,Temperatura ambiente,Temperatura del concreto,Salida de Planta,Llegada a obra (Hora),Tipo de prueba,Revenimiento / Extensibilidad en Obra,Se realizó ajuste,Observaciones del colado
P003,2930,08/07/2025,26,23,5:47,5:55,Revenimiento,20,No,"Atraso: llegada de coladores - Prueba cono: realizado después de 30 min, extensibilidad 67 dentro de rango, solicitado incremento"
P003,2933,08/07/2025,38,34.5,13:20,13:30,Extensibilidad,75,No,Sin observaciones
P003,2941,08/07/2025,38,33.9,15:53,16:05,Extensibilidad,75,No,Sin observaciones
P003,2945,08/07/2025,29,32.4,19:05,19:14,Extensibilidad,74,No,Sin observaciones
P003,2949,08/07/2025,25,32.9,21:27,21:35,Extensibilidad,75,No,Sin observaciones
P003,2954,08/07/2025,22,31.4,22:41,22:55,Extensibilidad,75,No,Sin observaciones
P003,2960,09/07/2025,27,31.5,19:15,19:23,Extensibilidad,75,No,"Descarga: atraso inicial por cliente no preparado, posterior descarga normal"
P003,2962,09/07/2025,27,33,20:00,20:07,Extensibilidad,75,No,Descarga normal
P004,4461,17/06/2025,21,28,19:17,19:30,Extensibilidad,55,No,Descarga normal
P002,7881,07/07/2025,31,31,12:00,12:35,Revenimiento,20,No,Descarga normal
P002,7891,07/07/2025,33,29,15:22,15:55,Revenimiento,20,No,Atraso: falta de instalación de tubería
P002,7908,08/07/2025,20,23,01:35,02:00,Revenimiento,18,No,Atraso: colocación de tubería sobre losa - Descarga normal
P002,7942,09/07/2025,22,25,00:59,01.20,Revenimiento,21,No,Descarga normal
P002,7952,09/07/2025,27,30,16:17,16:44,Revenimiento,19,No,Descarga normal
P002,7958,09/07/2025,23,28,21:27,21:40,Revenimiento,20,No,Traslado: mucho tráfico - Descarga normal
P002,7969,10/07/2025,26,27,2:48,3.04,Revenimiento,19,No,Sin observaciones
P002,7979,10/07/2025,27,28,6:33,6:48,Revenimiento,18,No,Sin observaciones
P002,8005,11/07/2025,27,31,15:41,16:12,Revenimiento,20,No,Sin observaciones
P002,8010,11/07/2025,24,29,19:37,20:35,Extensibilidad,60,No,Sin observaciones
P002,8013,11/07/2025,22,27,22:33,23:01,Revenimiento,19,No,Sin observaciones
P004,4669,01/07/2025,18,29,18:00,18:10,Extensibilidad,75,No,Sin observaciones
P004,4860,14/07/2025,21,29,13:15,13:30,Revenimiento,20,No,Sin observaciones
P004,4866,14/07/2025,20,31,17:08,17:20,Extensibilidad,76,No,Sin observaciones
P004,4867,14/07/2025,20,31,18:00,18:10,Extensibilidad,75,No,Sin observaciones
P004,4898,16/07/2025,19,30,21:02,21:12,Extensibilidad,74,No,Sin observaciones
P002,8036,13/07/2025,26,26,01:12,01:41,Revenimiento,22,No,Sin observaciones
P002,8042,13/07/2025,26,26,04:09,04:37,Revenimiento,22,No,Sin observaciones
P002,8051,13/07/2025,25,25,7:27,7:55,Revenimiento,22,No,Sin observaciones
P002,8094,15/07/2025,30,31,10:00,10:30,Revenimiento,25,No,Sin observaciones
P002,8103,15/07/2025,30,28,12:05,12:38,Revenimiento,25,No,Sin observaciones
P002,8115,15/07/2025,27,29,14:35,15:09,Revenimiento,22,No,Sin observaciones
P002,8124,15/07/2025,28,33,18:46,19:11,Revenimiento,19,No,Sin observaciones
P002,8163,17/07/2025,28,29,21:06,21:50,Revenimiento,21,No,Sin observaciones
P003,3134,15/07/2025,26,28,8:47,9:40,Revenimiento,11,No,Sin observaciones
P002,8171,18/07/2025,25,28,9:44,10:11,Revenimiento,20,No,Sin observaciones
P002,8179,19/07/2025,26,29,5:37,6:49,Revenimiento,11,No,Sin observaciones
P002,8200,19/07/2025,24,29,13:30,14:03,Revenimiento,20,No,Sin observaciones
P002,8234,22/07/2025,23,28,7:33,8:46,Revenimiento,10,No,Sin observaciones
P002,8263,23/07/2025,20,27,01:17,01:45,Revenimiento,21,No,Sin observaciones
P002,8295,23/07/2025,20,31,16:00,16:37,Extensibilidad,51,No,Atraso: llegada de coladores y laboratorio 20 min - Prueba cono: realizado 18 min después de llegada
P002,8308,23/07/2025,20,28,19:17,19:53,Revenimiento,20,No,Sin observaciones
P002,8318,23/07/2025,18,27,22:12,22:40,Revenimiento,17,No,Sin observaciones
P002,8263,23/07/2025,20,26,01:17,01:41,Revenimiento,22,No,Sin observaciones
P003,3010,14/07/2025,27,28,6:00,6:07,Revenimiento,20,No,Sin observaciones
